location_id,street_address,city,state,country
1,"1297 Via Cola di Rie",Toronto,Ontario,Canada
2,"93091 Calle della Testa",Venice,Veneto,Italy
3,"2017 Shinjuku-ku",Tokyo,Tokyo Prefecture,Japan
4,"9450 Kamiya-cho",Tokyo,Tokyo Prefecture,Japan
5,"2014 Jabberwocky Rd",South Brunswick,New Jersey,USA
6,"2011 Interiors Blvd",South San Francisco,California,USA
7,"2007 Zagora St",South Brunswick,New Jersey,USA
8,"2004 Charade Rd",Seattle,Washington,USA
9,"40-5-12 Laogianggen",Beijing,Beijing,China
10,"1298 Vileparle (E)",Bombay,Maharashtra,India
11,"12-98 Victoria Street",Sydney,New South Wales,Australia
12,"Murtenstrasse 921",Bern,BE,Switzerland
13,"Pieter Breughelstraat 837",Utrecht,Utrecht,Netherlands
14,"Schwanthalerstr 7031",Munich,Bavaria,Germany
